JobID|JobName|State|ExitCode|Elapsed|NodeList|AllocTRES
6176550_11|c3-independent-confirm|COMPLETED|0:0|00:00:18|qgpu0203|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6176550_11.batch|batch|COMPLETED|0:0|00:00:18|qgpu0203|cpu=4,gres/gpu=1,mem=16G,node=1
6176550_11.extern|extern|COMPLETED|0:0|00:00:18|qgpu0203|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6176550_12|c3-independent-confirm|COMPLETED|0:0|00:00:17|qgpu0401|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6176550_12.batch|batch|COMPLETED|0:0|00:00:17|qgpu0401|cpu=4,gres/gpu=1,mem=16G,node=1
6176550_12.extern|extern|COMPLETED|0:0|00:00:17|qgpu0401|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6176550_13|c3-independent-confirm|COMPLETED|0:0|00:00:17|qgpu0203|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6176550_13.batch|batch|COMPLETED|0:0|00:00:17|qgpu0203|cpu=4,gres/gpu=1,mem=16G,node=1
6176550_13.extern|extern|COMPLETED|0:0|00:00:17|qgpu0203|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6176550_14|c3-independent-confirm|COMPLETED|0:0|00:00:20|qgpu0403|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6176550_14.batch|batch|COMPLETED|0:0|00:00:20|qgpu0403|cpu=4,gres/gpu=1,mem=16G,node=1
6176550_14.extern|extern|COMPLETED|0:0|00:00:20|qgpu0403|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6177655|c3-cached-verification|COMPLETED|0:0|00:02:21|qnode0024|billing=18,cpu=4,mem=16G,node=1
6177655.batch|batch|COMPLETED|0:0|00:02:21|qnode0024|cpu=4,mem=16G,node=1
6177655.extern|extern|COMPLETED|0:0|00:02:21|qnode0024|billing=18,cpu=4,mem=16G,node=1
