6156249|c3-qwen8b-download|COMPLETED|236|0:0|qnode0329|2026-09-11T22:47:54|2026-09-11T22:51:50
6156249.batch|batch|COMPLETED|236|0:0|qnode0329|2026-09-11T22:47:54|2026-09-11T22:51:50
6156249.extern|extern|COMPLETED|236|0:0|qnode0329|2026-09-11T22:47:54|2026-09-11T22:51:50
6156462|c3-qwen8b-label|COMPLETED|627|0:0|qgpu0406|2026-09-11T22:57:19|2026-09-11T23:07:46
6156462.batch|batch|COMPLETED|627|0:0|qgpu0406|2026-09-11T22:57:19|2026-09-11T23:07:46
6156462.extern|extern|COMPLETED|627|0:0|qgpu0406|2026-09-11T22:57:19|2026-09-11T23:07:46
6157352|c3-vision-input-check|COMPLETED|119|0:0|qgpu2002|2026-09-11T23:13:30|2026-09-11T23:15:29
6157352.batch|batch|COMPLETED|119|0:0|qgpu2002|2026-09-11T23:13:30|2026-09-11T23:15:29
6157352.extern|extern|COMPLETED|119|0:0|qgpu2002|2026-09-11T23:13:30|2026-09-11T23:15:29
